properties{
  x = 976,
  y = 960,
  width = 976,
  height = 960,
  min_layer = 0,
  max_layer = 2,
  tileset = "out/outside_main",
  music = "overworld",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 976,
  height = 960,
  pattern = "1500",
}

tile{
  layer = 0,
  x = 272,
  y = 144,
  width = 720,
  height = 16,
  pattern = "958",
}

tile{
  layer = 0,
  x = 248,
  y = 160,
  width = 16,
  height = 16,
  pattern = "963",
}

tile{
  layer = 0,
  x = 248,
  y = 144,
  width = 16,
  height = 16,
  pattern = "960",
}

tile{
  layer = 0,
  x = 232,
  y = 144,
  width = 16,
  height = 16,
  pattern = "963",
}

tile{
  layer = 0,
  x = 248,
  y = 128,
  width = 16,
  height = 16,
  pattern = "955",
}

tile{
  layer = 0,
  x = 232,
  y = 128,
  width = 16,
  height = 16,
  pattern = "964",
}

tile{
  layer = 0,
  x = -8,
  y = 168,
  width = 64,
  height = 16,
  pattern = "957",
}

tile{
  layer = 0,
  x = -8,
  y = 152,
  width = 64,
  height = 16,
  pattern = "958",
}

tile{
  layer = 0,
  x = 56,
  y = 152,
  width = 16,
  height = 16,
  pattern = "961",
}

tile{
  layer = 0,
  x = 56,
  y = 136,
  width = 16,
  height = 16,
  pattern = "956",
}

tile{
  layer = 0,
  x = 72,
  y = 152,
  width = 16,
  height = 16,
  pattern = "962",
}

tile{
  layer = 0,
  x = 56,
  y = 168,
  width = 16,
  height = 16,
  pattern = "962",
}

tile{
  layer = 0,
  x = 72,
  y = 136,
  width = 16,
  height = 16,
  pattern = "966",
}

tile{
  layer = 0,
  x = 280,
  y = 344,
  width = 312,
  height = 24,
  pattern = "454",
}

tile{
  layer = 0,
  x = 608,
  y = 368,
  width = 8,
  height = 80,
  pattern = "454",
}

tile{
  layer = 0,
  x = 280,
  y = 344,
  width = 8,
  height = 24,
  pattern = "454",
}

tile{
  layer = 0,
  x = 264,
  y = 344,
  width = 16,
  height = 16,
  pattern = "66",
}

tile{
  layer = 0,
  x = 264,
  y = 360,
  width = 8,
  height = 72,
  pattern = "454",
}

tile{
  layer = 0,
  x = 272,
  y = 352,
  width = 16,
  height = 16,
  pattern = "986",
}

tile{
  layer = 0,
  x = 592,
  y = 352,
  width = 16,
  height = 16,
  pattern = "981",
}

tile{
  layer = 0,
  x = 256,
  y = 352,
  width = 16,
  height = 16,
  pattern = "988",
}

tile{
  layer = 0,
  x = 608,
  y = 352,
  width = 16,
  height = 16,
  pattern = "983",
}

tile{
  layer = 0,
  x = 256,
  y = 368,
  width = 16,
  height = 80,
  pattern = "975",
}

tile{
  layer = 0,
  x = 608,
  y = 368,
  width = 16,
  height = 80,
  pattern = "974",
}

tile{
  layer = 0,
  x = 288,
  y = 344,
  width = 304,
  height = 8,
  pattern = "979",
}

tile{
  layer = 0,
  x = 264,
  y = 344,
  width = 16,
  height = 16,
  pattern = "988",
}

tile{
  layer = 0,
  x = 592,
  y = 344,
  width = 16,
  height = 16,
  pattern = "983",
}

tile{
  layer = 0,
  x = 600,
  y = 344,
  width = 16,
  height = 16,
